label,text
"Negative","step 7 does not work. ls mount-point does notthing, even though step 3 printet correctly"
"Positive","I already know how to install ESXi.  I want to be able to get a full lab up and running quickly so I can get on with the things I need to test or work on.  Autolab automates a lot of the busy work of setting up the environment."
"Positive","most likely since I had just posted it :) Its been on backlog, but saw your tweet yesterday. I've already shared feedback for enhancements to support smaller configuration & customers can then scale up based on their env"
"Positive","NSX and #healthcare data centers are ready for #VSAN - are you? Find out during 3/23 and 3/29 webinars!...  http://fb.me/42OMz0ZxA"
"Positive","The VMware vCloud Air Disaster Recovery campaign is now available in multiple languages. Download & run it today.  http://bit.ly/14GcWRZ"
"Negative","I'm the everything admin unfortunately. I looked through the exchange logs and can't see vmware even trying to talk to it at all. It's as if vmware just says ""nah fuck you bro"""
"Positive","Only if you remove and re-add from the GUI.  PowerCLI doesn't have that problem."
"Negative","Yup. Had this happen twice. Both times it had to do with the account used by the VCSA to log into the domain. Someone had changed the password and forgotten to upgrade the VCSA."
"Positive","I've done both, I get more out of in person. Some of the instructors really discourage interaction other than the chat window."
"Positive","Congrats! That's a trickier exam because of the mixed content."
"Negative","The Postman's letter to himself is so depressing."
"Negative","I want to go to the beach but it will be dark soon and it's cold  Oh well, Orkney soon! Plenty of beaches there"
"Positive","""Be the one who has an opinion that's different than others."" Timeless advice from @CenturyLink's Scott Trezise. #leadership #careeradvice  http://for.tn/2jFKIUx"
"Negative","If by terminate you mean disconnecting from the vcenter, i've already done this. In fact it is the thing i need to do to know that i can log back in. I mean i must do that anyway to see my problem happen"
"Positive","How Deutsche Telekom and VMware are Helping Customers Embrace Digital Transformation (Extended cut) http://bit.ly/2ZvlqN4"
"Positive","@dobaer There you go.. So long as you doing call yourself a rabbi & start performing a bris you should be good to go."
"Positive","Happy Friday Sheikhar Chander! You are one of the winners of the #HCIchallenge Quiz 2!:  http://bit.ly/2bpGDQf"
"Positive","Probably not the response you want, but I'd strongly suggest contacting VMware support and working with them."
"Positive","Is hoping to get better soon  G'Night!"
"Positive","David Eagleman, Director of the Perception & Action Laboratory at Baylor College of Medicine, now on stage at #VMworld."
"Negative","Having issues with OpenManage on vCenter. Repository says ""catalog.xml.gz"" but actual is ""Catalog.xml.gz"". Not updating."
"Negative","Dump the logs and put in a call to vmware"
"Negative","Got error: ""The system cannot find the path specified."" for this set of instruction"
"Positive","Thanks to everybody for joining #VSANchat today! If you have any questions around VSAN, please feel f... #vsanchat  http://www.via-cc.at/53b6h"
"Negative","Yeah I had a lot where half the info was a repeat of another session."
"Positive","I'm proud to share that #VMware earned a spot on @Newsweek's list of America's Most Responsible Companies. Excited for continued innovation/development of these types of initiatives! #sustainability #CSR https://bit.ly/33OwHFD"
"Positive","Thank you all for all your advice, it truly is appreciated. I think i'm going to go ahead and just not run one"
"Positive","I did respond why - and if you need more details, feel free to hit me up on twitter. I'm on there a lot more than redddit."
"Positive","It is possible to migrate them without too many issues, but the rebuild is still a better option. A clean slate always ensure no major issues are inherited."
"Negative","Does not match what I am seeing"
"Negative","oh how i miss Koi nights with you   i miss our slumber parties too.  i want billy to sleep on my head."
"Positive","@alanrenouf @vBrianGraf Now there is a visual."
"Negative","We tried that, too.  Even rebooting the guest wasn't sufficient."
"Negative","Memory requirements are listed twice, nothing listed for disk space"
"Negative","cannot find Default Storage Policy pane."
"Negative","Did you have any trouble getting UEFI to see the boot drive? I have new servers, haven't installed anything yet and tried changing one to UEFI. When i go into the boot manager to confirm I see a drive, there's nothing there except PXE and virtual floppy/cd.   I started the ESXi installer and it does see the drives but didn't continue since the boot manager didn't see anything (and a colleague previously had trouble with uefi and the esxi installer failing and he just switched back to bios on those hosts)"
"Negative","Let me guess, it took almost exactly 21 days to get the case escalated with HP."
"Positive","Thanks for the post.  Looks very promising."
"Positive","Check out our coverage on VMware Horizon 6 on The VAR Guy here. Learn more about this new solution:  http://bit.ly/1gMtECa"
"Positive","I'll let Steve chime in, but yes. Its being able to map VMDK -> specific Drive/Volume/Paritition"
"Negative","No technical description on how to do set those limitations. It's nice to know that you should restrict number of Connections, but not writing down on where to set those configurations..."
"Negative","If your on 4.1, that's probably part of the issue. The current version of vmtools is 10, but I don't know how that works with 4.1"
"Positive","http://ow.ly/abCt6  VMware, NetApp and Cisco Enterprise Solution Comes to a Mid-Size Business Near You!"
"Positive","This is awesome! Thank you for posting!"
"Positive","I did have to get on top of the bag to make it easier to close."
"Positive","Hey, that looks familiar! Love the dedication #vSANFan"
"Positive","Take a look at a info sample that acan be found on a performance study performed on SAP IQ, a mission critical...  http://fb.me/6RxOofOUp"
"Positive","2nd hands on lab. Good suggestion."
"Positive","Because your details are worth money, and VMware needs to pay its employees to CI/CD the software you only need to use once."
"Positive","That was the issue. Now it's dropping the log file where I told it too. Just have to start configuring this to see if it will speed up logon times. Thank you sir."
"Negative","What about systems that are not connected to the internet? Where can I download it from VMware???"
"Negative","Waiting for nea to wake up  im bored."
"Negative","Sadly player can't make snapshots"
"Negative","1/3 anniversaries missed this summer. Check!"
"Positive","Any open snapshots on the VM? I've seen this happen when a snapshot is open where before it used a standard port group, and after the snapshot, it uses a distributed port group.  Else ensure vmotion is enabled on the appropriate vmk adapters, and quadruple check port group names."
"Positive","just ate 2 (two) southern style chicken sammiches...I'm full of chicken &amp; filled with guilt!"
"Negative","@BlueShiftBlog What a total flustercluck... Keystone Kops..."
"Positive","As mentioned before, rvtools is your go to.  Just know youre gonna get everything and then some."
"Negative","I saw that video a few hours ago  they shot her in the heart and she died 2 min later,Dr could not save her- father withher"
"Negative","I'll gladly trade you weather in the 90's for your cool rainy weather. My plants are drooping"
"Negative","I don't believe you can use Update manager without issues.   The process would not finish before the host rebooted,  and with no where else for the vSphere Appliance to go, it would go down as well."
"Negative","look at the sps logs.  /var/log/vmware/vmware-sps/sps.log  I can't remember if 6.0 has a wrapper log for sps, but if it does check that out as to why it isn't starting."
"Negative","Hello Vmware employee from GSS here. this documentation is too much blabla and the sequence is extremely confusing"
"Negative","no sunshine here - just wall to wall grey with added rain  Wanna share your sunshine?"
"Negative","The first deployment wasn't bad at all.  A Windows VM for IaaS, another for SQL Express and a Appliance.  All in a single vLAN.  The first group, my pilot group, was running VMware Workstation on standalone workstations.  They had a little shadow IT thing going on with some extra NICs and a Linksys router and some internet connection sharing going on - one of the security guys flipped and told them to rip it out... so we went with a small vRA deployment.  Then one of those guys moved from a development shop to a testing shop, told his friends and boom, I had a second tenant.  /Dev and /QC.  Then a couple of security engineers needed a place to work on a new image so /Sec was born, then a group that was doing some other dev work, then the guys at out other site... and now things are getting out of control."
"Positive","best of luck Zane, you got this!"
"Negative","there's that and when I would catch the little f*cker  shitting in the sink."
"Positive","Remember, it's Rolo.  #drama\n\n:)"
"Positive","New #VSAN Solution Overview on #VirtualBlocks - Mixed Workloads in #HCI:  http://bit.ly/2a6syDa"
"Positive","And ruin all the fun of taking the piss out of them? :)"
"Positive","I actually just heard about this feature last week when sitting in on a START session before I presented. This feature is so cool. It really takes a lot of the effort out of starting this process. Kudo's to the team for getting this thought up, and pushed out."
"Positive","I'm not currently running SRM at all, I figured SRM 6 would give me a good reason to upgrade vSphere since our licensing is up to date."
"Positive","RT @BlueShiftBlog: Gotta hand it to the VSAN Observer team.  Great and necessary tool for VSAN environments<-@cdickmann & team did great job"
"Positive","What version of the Flex Web Client are you all running? We've continued to make improvements in each release with a big step in 6.0 U1. I'm not saying that its perfect by any stretch of the imagination but should be workable.  I invite you to try the HTML5 client. No plugins, no flash. Even in alpha it has been incredibly fast, even at scale. Quite a few large customers are running it in production and are very happy with it."
"Positive","Unbreakable Kimmie Schmidt is very funny. A real 30 Rock groove."
"Positive","Q6: Earlier this year, #VMware Cloud Foundation was announced, bringing together vSphere, #vSAN, and ... #vsanchat  http://www.via-cc.at/94prc"
"Negative","Cyclical dependencies suck.   Like the DHCP server I found on the autodeployed production cluster in one environment. Yikes!"
"Positive","I've already hit @lamw's blog twice today.  Once for deploying the vSphere VCSA beta on Fusion & the other for vi-fastpass. Thanks buddy."
"Negative","Trouble is I need the OS installed on an MBR volume because SmartDeploy won't capture GPT."
"Positive","Looking forward to how this baby grows..."
"Positive","hahaha my pill box  some guy at this resturant had tot ell me to smile. but other than that everything is fine! not burnt! woo!"
"Positive","Thanks, we're very excited about the new vSAN 7.  We think it's lucky too! Thank you for sharing the news."
"Negative","Damn i missed the fucking appointment i have been waiting a week for. So sad."
"Positive","Lets just say I've floated that idea by Intel folks ;) Its definitely got the right foundational ingredients, so well see ..."
"Positive","@amurepinho @cxi That's great to hear.. :)"
"Negative"," I assume 14 to 15 will be ""free"" under the right circumstances.   I hope, but it won't surprise me to find out that they won't allow this with out some sort of upgrade fee."
"Negative","Thank you! It's been tough to keep track of VMware Tools 10.x releases."
"Positive","I can tell you from experience that running ESXi on a 2009 Mac Pro to virtualize Mavericks, Yosemite and Mountain Lion all work just fine using ESXi 5.1.  ESXi 5.5U2 adds in support for the 2013 Mac Pro models."
"Positive","Esxi has been pretty nice as it plugs right in to VMware workstation on my desktop. We also use esxi and VMware workstation at work so it's been convenient for those reasons. Currently running the following services. Blueiris Plex, file server TP-Link Omada (and system I use for managing switches) Domain controller   I could probably get away with a sata controller, the chance I would get a SAS drive is pretty low but I like to have the option available.  In the immediate future I need to attend a 12-14tb drive for backups as I'm reaching the limit of my 8tb archival drive."
"Positive","helped us to sustain in the market"
"Positive","Customer collaboration is improved"
"Positive","Also see our free partner webinars under 'Register for Events' here:  http://bit.ly/290G5tv"
"Positive","Please post issues on the Fling page as that is monitored by the Developer :)"
"Positive","Woah! Congrats to you and your team Jehad"
"Positive","""Sure guys, I'll be there""\ncc: @PunchingClouds"
"Positive","That's a great point... gone are the days where you need to beg and plead your case every 4 years of why you need new hardware... or why you need new licenses for the latest release.  It gives an organization financial stability, it helps give vendors financial stability, that helps them focus on squashing bugs so that support contracts aren't a revenue generating department that also hurts the overall PR.  It makes vendors focus on solutions so reliable, so innovative, no one ever wants to leave."
"Positive","That made me feel all warm and fuzzy on the inside.. We missed you last week"
"Positive","Watch this to learn how vSphere Optimization Assessments can help you close additional business fast!  http://bit.ly/1wQDXK1"
"Positive","Good morning... everyone is up early and already whining.   Ugh. Is something in the air? Whiney-pollen? Maybe I should go back to bed! ;)"
"Positive","Balanced just fine with a Citrix Netscaler. It's supposed to be fairly simple since all the AppVolume request are all just HTTP/S requests."
"Negative","On new version we are not able to use VSphare Client. So only way is GUI. But nothig about how use it trough GUI"
"Positive","Bet you didn't know this: Learn more about traditional stretched clusters and what they typically require! http://bit.ly/2X2bGVH"
"Positive","Take a technical deep-dive at your own pace with the #VSAN webcast library:  http://vmw.re/1QDL06A"
"Positive","It's the perfect guide to all-flash cache-tier sizing requirements! Find the guidelines here:  http://bit.ly/2NBVVzN"
"Negative","what time is it on ur island? everytime u tweets i'm out.. thats sad!"
"Negative","Being 12 yrs old is a tough age... Shepherding a 12yr old is a tough job."
"Negative","I'd also like to know the answer to this. We have a four host VSAN cluster that is stuck running 5.5 because of the VSAN HCL."
"Negative","Hello,  The person you replied to is correct. This is an issue/bug where vCD constantly sees vCenter in a busy state. You will need to bring down the cells, run the whack script (clears quartz and inventory tables) and restart the cells.  Please open a support case so we can provide the whack script to you with the exact steps.  Sometimes, performing a reconnect and then a refresh will do the trick, but often times it will throw the same error.   Edit: I took a look at the KB, and that is the jist of the whack script. It wouldn't remove the datastore tags, just need to bring the cells down, run the script and bring the cells back online.   I would also ask what version of vCD and vCenter do you have? We've not seen this issue in later versions (typically vcd 5.5.6.1/8.10)"
"Negative","The Product Provisioning for Windows Desktop Guide referenced on this page is not available as a hyperlink and the search function does not find it using that name"
"Positive","The chapter. But ending the story with it would be awesomesauce, too! xD Oh, there's only a few chappies left?"
"Positive","Hahahaha, I was trying to update the Gracenote db in the minivan. :)"
"Positive","My 30 was awesome.. Was in the best shape of my life..."
"Positive","@Lowes What a great start to the day! :("
"Negative","The topic is Installing VMWare Tools, but the page never explains how to install VMWare Tools. It says to see the Virtual Machine Administration Guide, but there's no link to this guide."
"Positive","lol... pretty good so far, just trying to figure out all of the processes"
"Positive"," You don't need to take a course for VCA (VMware Certified Associate).  Oh, shoot this is a good a idea I should knock that out just to have some kind of cert around VMware while I take the VCP course."
"Negative","is at work miserable! I don't feel well! I need someone to make me feel better!"
"Negative","i just did, i thought that must be included with the main installer. vmware just prompted me to install it after shutting down and launching ubuntu again.  i am still not seeing anything in the menus.  i am also not sure where vmware tools is installed,nothing has changed."
"Negative","amazing iPhone typo. Should say 'Took a football IN THE windpipe' I.e. i got hit in the throat by a shot. Hurt"
"Positive","Sure can. Multi access lun and map it from the os"
"Positive","RT @jtroyer: Who's going to be at Oracle Open World? Tell us: we're cooking up some cool stuff from our cute booth in the back"
"Positive","Yeah you have to use NVIDIA Grid Tesla (which surprisingly is licensed per concurrent user in addition to buying the actual graphics card)!"
"Positive","New Virtual SAN campaign now available in the VMware Partner Demand Center. Run it today for free!   http://bit.ly/10VyCrS"
"Negative","EC2 instances and a small handful of developers to manage them  And that's the rub- If you're not a dev, where do you fit in this brave new world where the lunatics run the asylum? Further, when your superiors flat out refuse to listen that your software isn't designed for AWS, it's legacy turtles all the way down, none of this cool new containerized microservice stuff, and AWS will lead to data loss and downtime?  I view AWS as an evolution of devs renting a VPS and calling it a robust solution. Despite all the things I've read about ""Devops needing ops"" every time I've seen it done, it looks an awful lot like Devs kicking out ops because they're sick of our nagging about things like availability and data loss."
"Negative","i think my house MAY be haunted, ps- i'm really going to miss @jayfr3sh and @Breco_71"
"Negative","I can't help with the issue, but curious as to why you don't use the appliance?"
"Positive","Thanks.  Something to consider."
"Positive","How to get more from less from your IT budget? Consider #VMware Virtual SAN:  http://vmw.re/1ALkhJY"
"Positive","Tomorrow: Learn how to size & get the max performance from your #VSAN at #VMworld session #STO4820"
"Negative","Your issue is the thin provisioning. VMware will present 128GB to the OS even if there is not 128GB worth of space left on the datastore. Once the datastore fills up...game over, you need more physical storage. This is why thin provisioning is both a blessing and a curse. I work for an MSP and there is no way we can keep track of storage like that for 300+ clients so by rule of thumb we ALWAYS use thick provisioning. This way the OS will get it's space and it will be ""earmarked"" on the datastore, if it's not available on the datastore ESXi won't let you create the disk."
"Positive","awww, that is AWESOME!! I glad it went well, except the rain.   Thanks for filling me in! So cool!!"
"Positive","Personally, I think we could all give ActiveX plugins another go."
"Negative","@700doo guys i feel like an idiot, u see how selena came to toronto.. i live in toronto  i missed her! dam man!"
"Positive","yes that is true   because of this i use tweetdeck works fine most of time (with some small limits)"
"Negative","nearly KO-ed at work. the word anemic keeps being thrown around"
"Positive","Thanks. I'm not going to dive into DCD until I get my results. I figure if I dive into DCD I'll get a 299 and have to flip back to studying DCA for a retake."
"Positive","Brand new Intel Purely Platform? Say hello to always-ready VMware #vSAN. Learn how to make the two play well here.  http://bit.ly/2f25mvP"
"Positive","The upgrade is done, all seems to be working smoothly for now. I should have clarified. I'm just looking for some general advice, or resources that may be useful in the future that aren't on the sidebar.  Worse case scenario, we have a contract with outside engineers who will be able to help us."
"Positive","Yep, i always keep Vmotion to it's own Nics as it maxes outs even 10gb. also good pratice to keep storage nics separate as well."
"Negative","I took the test this morning and failed. Guess I don't know has much as I thought I did.  I rushed through it though.  Congrats on passing."
"Positive","Honestly, because ""if it ain't broke don't fix it"". Took your advice and updated to 5.5. Getting a new PSOD now: no heartbeat."
"Positive","RT @herrod: Wow. This vJack-o-lantern just arrived at my desk!  http://bit.ly/q8cyHm"
"Positive","ESXi reserves its own resources."
"Negative","To just instantly blame the image with such a vague problem description is irresponsible.  What config changes are not persisting OP?"
